city,state,country,name,parent_id,unique_id,directions,lat,lon,description,date_created,activities/0/name,activities/0/unique_id,activities/0/place_id,activities/0/activity_type_id,activities/0/activity_type_name,activities/0/url,"activities/0/attribs/""length""","activities/0/attribs/""nightride""",activities/0/description,activities/0/length,activities/0/activity_type/created_at,activities/0/activity_type/id,activities/0/activity_type/name,activities/0/activity_type/updated_at,activities/0/thumbnail,activities/0/rank,activities/0/rating,activities/1/name,activities/1/unique_id,activities/1/place_id,activities/1/activity_type_id,activities/1/activity_type_name,activities/1/url,"activities/1/attribs/""length""",activities/1/description,activities/1/length,activities/1/activity_type/created_at,activities/1/activity_type/id,activities/1/activity_type/name,activities/1/activity_type/updated_at,activities/1/thumbnail,activities/1/rank,activities/1/rating,activities/0/attribs/null,"activities/0/attribs/""type""",activities/2/name,activities/2/unique_id,activities/2/place_id,activities/2/activity_type_id,activities/2/activity_type_name,activities/2/url,"activities/2/attribs/""type""",activities/2/description,activities/2/length,activities/2/activity_type/created_at,activities/2/activity_type/id,activities/2/activity_type/name,activities/2/activity_type/updated_at,activities/2/thumbnail,activities/2/rank,activities/2/rating
Shelbyville,Illinois,United States,Lone Point (il),,10836,"From Shelbyville, Illinois, go 4.5 miles north on State Route 128 to County Road 1750 N. Turn right and drive 0.9 miles to County Road 1900 E, then make a left and go 0.35 mile. Turn right onto County Road 1785 N and continue 2.5 miles to County Road 2150 E. Turn right and go 0.7 mile to County Road 1725 N, then take a left and travel 0.25 mile to County Road 2175 E. Turn right and continue 0.7 mile to the campground.",39.452222,-88.740278,,,Lone Point,3-5251,10836,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=5251,"""3""",,"Lone Point is a secluded campground that sits on the western shore of Lake Shelbyville in the heart of central Illinois.       This facility has a variety of campsites that can accommodate large and small groups, as well as individuals. The lake and surrounding land offer outdoor activities for people of all ages, including fishing, swimming, picnicking and simply relaxing.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/04/5251-1302139135-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulaski,New York,United States,Selkirk Shores State Park,,18310,"7101 State Route #3&lt;br /&gt;Pulaski, NY 13142&lt;br /&gt;Phone: (315) 298-5737",43.556178,-76.204425,"In addition to spectacular sunsets over one of the Great Lakes, visitors to Selkirk Shores State Park can expect outstanding fishing and popular hiking and biking trails that lead to a lush mix of meadows and woodlands.

Take full advantage of the views! Bring your binoculars - the park is directly in the migration route for a wide variety of bird species. Or, pitch a tent and stay awhile. Campsites are available directly overlooking a bluff on Lake Ontario.",,Selkirk Shores State Park,2-4936,18310,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=4936,"""0""",,Great hiking area.,0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,Selkirk Shores State Park,3-6988,18310,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=6988,"""3""","Selkirk Shores State Park&amp;#39;s campsites overlook a bluff on Lake Ontario. Visitors can expect outstanding fishing and spectacular sunsets. Small boats can be launched from the Pine Grove site, and larger boats from Mexico Point on the Little Salmon River. Summer hiking and biking trails are used in the winter by cross-country skiers and snowmobilers. Selkirk Shores is on the direct migration route for a wide variety of bird species, so birdwatchers flock to the park.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/6988-1307458426-0.jpg,,3,,,,,,,,,,,,,,,,,,
Buchanan,Virginia,United States,Appalachian Trail 055: Jennings Creek Road to Parkers Gap Road,,5681,asdf,37.529275,-79.622453,,,Appalachian Trail 055: Jennings Creek Road to Parkers Gap Road,2-2322,5681,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=2322,"""12""",,"Section 55 of the A.T. runs 11.5 miles from Jennings Creek Road (VA Hwy 614) to Parkers Gap Road (near the Blue Ridge Parkway). Along the way it passes Fork Mountain, Bryant Ridge Shelter, and Cornelius Creek Shelter.",12,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham,Washington,United States,Bellingham DJ Park,,25974,"The park is conveniently located near downtown Bellingham at Civic Field. Take Lake Way Dr. from downtown and head east, then turn left on Puget St. and the DJ park is located on the right side of the road next the skate park and across the street from Civic Field Stadium. (via WMBC)",48.7462,-122.45608,,,Bellingham DJ Park,1-8432,25974,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=8432,"""1""",null,Great place for all riders to work on jumps.,1,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randle,Washington,United States,Olallie Lake Campground,,7337,46.2892N 121.6181W.  Forest Road 5601,0,0,,,Olallie Lake Campground,3-972,7337,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=972,"""3""",,"A popular little campground, five sites, close to the lake shore. A beautiful view of Mt. Adams across the lake. Quiet boating. Good fishing early in the season. Several small sites and one larger area with room for RVs. Outstanding small, quiet boating. At least four miles of gravel road to campground.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/08/2011-07-16-13-14-14-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,Washington,United States,Warren G. Magnuson Park,,22229,"47.681974, -122.260605",47.682004,-122.261295,"Open from 4 a.m. - 11:30 p.m., the Warren G. Magnuson Park offers 350 acres of park land and is Seattle's second largest park. A former Navy airfield, it has now been transformed into a unique park where visitors can enjoy boating, swimming, walks, kite flying, sports fields, natural areas, and a historic campus.",,Warren G. Magnuson Park,2-6799,22229,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=6799,"""0""",,"Open from 4 a.m. - 11:30 p.m., the Warren G. Magnuson Park offers 350 acres of park land and is Seattle's second largest park. A network of paved trails winds all throughout this urban park, taking you past an off-leash dog park, great picnic areas, a few beaches, and a beautiful stretch of Lake Washington's shoreline.",0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall Creek Falls,Tennessee,United States,Upper Loop Trail ,,14435,"From Nashville take I 40 East TO Cookeville. Turn Right onto 111 South exit 288, Park Entrance is on Left HWY 284 Then from the main campgrounds follow the main road South past the golf course toward the South entrance. When you reach the main Intersection turn left. Follow this road a little over 2 miles until you cross the cane creek Trailhead starts before creek,but the parking lot is past the creek at Hewton Ford Park Area",0,0,,,Upper Loop Trail ,1-5660,14435,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=5660,"""14""",null,The best trail of the park. It twists &amp; turns through the woods descending the gorge and then climbing back out. The best part of the trail is ridding the suspension bridge over cane creek,14,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weymouth,Massachusetts,United States,Stodder's Neck/Abigail Adams Park,,17077,From Boston take Rt. 3A south to Lincoln Street in Hingham.,42.247233,-70.934715,"Open year-round, dawn to dusk. A peninsula on the Hingham/Weymouth line at the mouth of the Back River, Stodder's Neck was once an unsightly gravel pit. Reclaimed and landscaped in a manner reminiscent of Frederick Law Olmsted's work at World's End, Stodder's Neck provides harborside walking trails and a hilltop view of the Back River.",,Stodder,2-4281,17077,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=4281,"""0""",,"Stodder's Neck is a peninsula located on the Hingham/Weymouth line at the mouth of the Back River. This 7-acre area is an excellent location for walking, picnicking and scenic viewing. The Weymouth Back River views and the green grass and large trees are a great sight after a long day. <br /><br />Also known as the Weymouth Reservation.",0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,New York,United States,Delta Lake State Park,,18210,"8797 State Route 46&lt;br /&gt;Rome, NY 13440&lt;br /&gt;Phone: (315) 337-4670",43.290418,-75.416408,"Delta Lake State Park is located on a peninsula extending into Delta Reservoir. You'll find the terrain is wooded and generally flat. Year-round visitors can enjoy the day in one of many picnic areas, or on one of the many hiking and nature trails. There is also a boat launch and shoreline fishing for trout, pike, bass, bullhead and perch. Campers can enjoy 101 tent, trailer or RV camping sites and there is a sandy beach with swimming in the summer. For winter visitors there are cross-country ski trails.",,Delta Lake State Park,2-4888,18210,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=4888,"""5""",,Excellent hiking.,5,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,Delta Lake State Park,3-6901,18210,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=6901,"""3""","Delta Lake State Park, open year-round for rest and relaxation, is located on a peninsula extending into Delta Reservoir. The terrain is wooded and generally flat. Visitors can enjoy the day in one of many picnic areas or spend time exploring the park&amp;#39;s miles of hiking and nature trails. A boat launch, plus shoreline fishing for trout, pike, bass, bullhead and perch, make the park popular with anglers. A sandy beach with swimming in the summer and cross-country ski trails in the winter make this park a year-round outdoor destination.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/6901-1307134403-0.jpg,,0,,,,,,,,,,,,,,,,,,
Little Rock,Arkansas,United States,Petit Jean State Park,,14611,West of Little Rock on I-40.,35.118538,-92.929108,"Petit Jean Mountain is a special place - an unforgettable place - known for the legend of Petit Jean, the story of a French girl who disguised herself as a boy and secretly accompanied her sweetheart, an early explorer, to the New World and to this mountain.",,Petit Jean State Park,2-3459,14611,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=3459,"""20""",,"Get information on the more than 20 miles of hiking trails in Arkansas that will guide you to Petit Jean's secrets. Walk to the spectacular 95 foot Cedar Falls, one of the most spectacular waterfalls in Arkansas, meander through amazing geology on the Seven Hollows, or enter Rock House Cave and view ancient pictographs.",20,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,http://images.tripleblaze.com/2014/08/IMG_62011533356268jpeg.jpg,,5,Petit Jean State Park,3-8210,14611,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=8210,"""3""","One of Arkansas's historic treasures, Mather Lodge at Petit Jean State Park, reopened on May 8, 2012, following a beautiful, and fitting, renovation. The renovation work replaced the lodge's 1960s-era dining room with a more rustic-style design, expanded the kitchen, added a 50-person room for meetings and small banquets, relocated the guest registration desk, enhanced the 24 guest rooms, and constructed a new lodge swimming pool.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,0,,,,,,,,,,,,,,,,,,
Minneapolis,Minnesota,United States,Edgewater Park,,23490,"2326 Marshall St. NE&lt;br /&gt;Minneapolis, MN 55418",45.012046,-93.272211,"Located in Northeast Minneapolis, Edgewater Park is divided into two sections - the Prairie and the Metro. Plantings, layouts and signage evoke these themes. Walkways carve the park into these sections and mimic the alignments of the Mississippi and Minnesota Rivers. An overlook provides a wonderful vista to view the Mississippi.",,Edgewater Park,2-7488,23490,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=7488,"""0""",,Plenty of walking/jogging paths.,0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,Texas,United States,Dick Nichols District Park,,22267,"8011 Beckett Rd., 78749",30.215647,-97.863164,"This district park is a neighborhood favorite. There is a kids water-play area and hike and bike trails that wander throughout. Additional facilities include 9 barbeque pits, basketball courts, multipurpose fields, picnic shelters, picnic tables, playgrounds, swimming pools, tennis courts and volleyball areas.",,Dick Nichols District Park,2-6917,22267,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=6917,"""1""",,Great hiking area.,1,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammoth Cave,Kentucky,United States,Brier Creek,,19053,"From bowling green. North bound on 31w, left onto 101. Continue through Brownsville. follow signs for Nolin lake state park. cross over damn and turn left onto briar creek rd. Trail head is on the right, directly before the boat ramp",37.29873,-86.21281,,,Brier Creek,1-6087,19053,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=6087,"""5""",null,"Comprised of two loops (with expansion plans in the future). First loop is called waterfall loop. about 2 miles. It is an intermediate single track with excellent opportunities to practice skills in a low risk environment. Omega loop is similar terrain with a couple of sections that can be fast if you want them to be. Fun trails if you live in the area. You will get a work out. Plenty of rock gardens to keep you on your toes.<br /><br />&lt;b&gt;Description from fredgames:&lt;/b&gt;<br />Brier Creek consists of two stacked loops with a connector in between. The first loop is called Waterfall and second Omega. There is also a new, beautiful connector trail that goes off Omega. It has great lake views as well as rock outcroppings and a waterfall. At the end of the connector trail you cross two pontoons to get on the Pointe Loop. This is still under construction but should be done by Fall 2014. There is also a downhill flow trail in the works. This is a great trail system, a diamond in the rough that is roughly 10 miles from the Big Hollow Trail system at Mammoth Cave.",5,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2013/06/IMG_1678-0.jpg,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Yellowstone,Montana,United States,Mile Creek Trail,,26748,"From the intersection of Hwy 287 and Hwy 87, head south 5 miles until you get to Mile Creek Road; turn left and go one mile; there's a place to park at the trail head right after crossing Mile Creek with your vehicle.",44.76301,-111.44736,,,Mile Creek Trail,1-8983,26748,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=8983,"""7""",null,"It is important to note that Mile Creek Trail is part of the Continental Divide Trail system, so it connects to other trails of various difficulties.  Mile Creek Trail itself is a great 14-mile out-and-back jaunt.  At first, it gradually rolls up at the base of the mountains; when in the trees, it gets a bit steeper until you hit the switchbacks, of which there are many; however, the pitch isn't too steep.  There are some loose, large rocks here and there, but they are easy to avoid.  You climb to about 10,000 ft. when you get to the turnaround point.  Of course, the trail continues down the other side, if you want to explore.  Do further research of the area.  Be careful of bears.  Hikers and bikers are cautioned to not hike/ride alone, but if you are careful, carry bear spray, you should be okay.  I saw one, small black bear, but there are grizzlies.  I heard a local story that a biker was attacked by a grizzly years ago.  Just use caution and enjoy the incredible scenery.",7,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2014/08/DSC05479.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wakefield,Kansas,United States,Timber Creek,,25590,"Accros the lake from wakefield, first turn on right.&lt;br /&gt;&lt;br /&gt;39.219724,-96.973245",0,0,,,Timber Creek,3-10540,25590,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=10540,"""3""",,Primitive camp site that is just right for my little tent. Great views over the lake and it has plenty of space.,3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanish Forks,Utah,United States,Whiting,,12913,"From I-15, take Springville exit 260. Head east 2 miles to the intersection of Main Street and 400 South. Turn right on Main Street, staying in the right lane toward Highway 89/Price. Continue 2.3 miles to Maple Street. Turn left on Maple Street/State Highway 147 for .9 miles to Main Street in Mapleton. Turn left on Main Street, then right on 400 North. Drive east on 400 North for 2.7 miles to the campground.",40.131667,-111.526944,,,Whiting,3-7330,12913,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=7330,"""3""",,"Whiting Campground is located in Maple Canyon, just 3 miles from the town of Mapleton, Utah, at an elevation of 5,400 feet. Visitors enjoy hiking, mountain biking and horseback riding.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/06/7330-1307541985-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,California,United States,Skyline,,10272,"From San Bernardino, travel on I-10, to the Alabama exit in the City of Redlands. Turn onto Lugonia Avenue (Highway 38) and head northeast for approximately 31 miles. Turn onto Forest Route IN02 and continue less than a mile to Heart Bar Campground. Skyline is located at the back.",34.155556,-116.783056,,,Skyline,3-4687,10272,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=4687,"""3""",,The Skyline Group Campground is a great place to enjoy an extended family or large group camping experience. It is close to a variety of wilderness trails and offers abundant fishing opportunities within the surrounding mountain creeks.,3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/03/4687-1300516348-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,California,United States,Leona Canyon Regional Open Space Preserve,,22982,Near Oakland.,37.809022,-122.145463,"A pristine wooded canyon is protected in this 290-acre parkland near Merritt College in Oakland. The park is an ideal place for hiking, running, biking, dog walking, and similar activities.",,Leona Canyon Regional Open Space Preserve,2-6951,22982,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=6951,"""0""",,"A pristine wooded canyon is protected in this 290-acre parkland near Merritt College in Oakland. The park is an ideal place for hiking, running, biking, dog walking, and similar activities.",0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitmire,South Carolina,United States,Buncombe - Brickhouse Recreation Area,,3323,"From Columbia, follow Interstate 26 west to Joanna (Exit 60), turn right, and drive northeast for 3.7 miles on SC 66. At Forest Service Road 358, turn right (south) and look for the trailhead and parking on the left. &lt;br /&gt;&lt;br /&gt;",34.44755,-81.70515,,,Buncombe - Brickhouse Recreation Area,1-3756,3323,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=3756,"""28""",null,"This group of interconnecting shady trails are a great ride/or hike for the entire family, because there are no major obstacles. The outer perimeter is a 28-mile loop, but various connectors enable you to lengthen or shorten your ride There are several points of interest, including old cemeteries, creek crossings, wagon roads, and plantation sites. Wildflowers dot portions of the trail and in the springtime dogwoods offer brilliant displays of color. The trail is primarily gravel or Piedmont clay.  &lt;br /&gt;<br />&lt;br /&gt;<br />It is recommended that horses be shod. Since these trails are shared, you may encounter hikers or mountain bikers. Insect repellent is recommended during warm months.&lt;br /&gt;<br />&lt;br /&gt;<br />Trail Lengths: Outer perimeter: 28 miles. Connectors: Blue 5.75 miles, Purple 9.0 miles, White 12.7 miles, Green 1.25 miles, Gray 0.75 mile, Red 2.25 miles, and Palmetto Trail 8.0 miles.&lt;br /&gt;<br />&lt;br /&gt;<br />Fees: Daily $3 per vehicle, or yearly $25 per vehicle. A fine will be charged for failure to pay the fee.&lt;br /&gt;<br />&lt;br /&gt;<br />",28,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2013/06/IMG_0459-0.jpg,,2.75,Buncombe - Brickhouse Recreation Area,2-1625,3323,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=1625,"""28""","Buncombe - Brickhouse Recreation Area features 28 miles of hiking trails near Whitmire, SC.",28,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,http://images.tripleblaze.com/2010/11/MH1-0.jpg,,5,,,,,,,,,,,,,,,,,,
Chantilly,Virginia,United States,Ellanor C. Lawrence Park,,23533,5040 Walney Road&lt;br /&gt;Chantilly VA 20151&lt;br /&gt;703.631.0013,38.861378,-77.430505,"Located in western Fairfax County, Ellanor C. Lawrence Park was established to preserve large areas of open space, protect natural and cultural features and provide a wide variety of recreational opportunities for the public. Visitors will find a unique experience whether visiting to bird watch, hike, exercise, discover the natural and cultural history of the land, picnic, participate in organized sports, attend an educational program or just relax.",,Ellanor C. Lawrence Park,2-7528,23533,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=7528,"""0""",,Beautiful area for hiking.,0,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo and Hudson,Iowa,United States,Sergeant Road Trail,,5292,The trailhead is at Commerical Avenue and Mullan Avenue.  It connects to the 218 Trail at this trailhead.  The other trailhead is at Pleasant Drive and Eldora Avenue in Hudson.,0,0,,,Sergeant Road Trail,2-27,5292,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=27,"""9""",,This rail-trail through rural and park areas of Waterloo and Hudson.  Also provides access to the John Deere Westfield site.,9,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hookstown,Pennsylvania,United States,Raccoon Creek State Park,,19023,"Raccoon Creek State Park is in southern Beaver County. Access the park from the west on US 22 and US 30, or from the north and south on PA 18, which passes directly through the park.",40.523838,-80.448874,"Raccoon Creek State Park has continued to develop from the park's beginning as a Recreational Demonstration Area operated by the National Park Service in the 1930s, to one of the largest and most beautiful state parks in Pennsylvania. Facilities at the park are a mix from the early Civilian Conservation Corps camp to modern facilities. In addition to recreational areas, there are large tracts of undeveloped land. The 7,572-acre park features the beautiful 101-acre Raccoon Lake.",,Raccoon Creek State Park,2-5371,19023,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=5371,"""44""",,The park offers a wide variety of hiking options to meet the needs of the casual day hiker as well as the overnight backpacker looking for a challenge within a wilderness setting. Explore trails for complete trail descriptions.,44,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,Raccoon Creek State Park,3-8885,19023,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=8885,"""3""","Raccoon Creek State Park has continued to develop from the park's beginning as a Recreational Demonstration Area operated by the National Park Service in the 1930s, to one of the largest and most beautiful state parks in Pennsylvania. Facilities at the park are a mix from the early Civilian Conservation Corps camp to modern facilities. In addition to recreational areas, there are large tracts of undeveloped land. The 7,572-acre park features the beautiful 101-acre Raccoon Lake.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,,,0,,,,,,,,,,,,,,,,,,
Stanley,Idaho,United States,Point Campground,,10715,"Take State Highway 75 south from Stanley, Idaho, for 6 miles. Go west on Forest Road 214 for approximately 1.7 miles. Turn right onto Forest Route 213, drive a short distance and turn at Point Campground entrance.",44.135556,-114.931667,,,Point Campground,3-5130,10715,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=5130,"""3""",,"Point Campground is located next to beautiful Redfish Lake at the foot of the Sawtooth Mountain Range at an elevation of 6,500 feet.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/03/5130-1301603843-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheaton,Maryland,United States,Wheaton Regional Park,,23613,"Wheaton, MD 20902&lt;br /&gt;Park Manager: 301-905-3045",39.052188,-77.043537,"Wheaton Regional Park is nestled in a forested area of Wheaton, Maryland. The park was established in 1960, incorporating several large parcels of land into one of Montgomery County's finest and largest parks. Visitors can enjoy a variety of recreational and educational opportunities within its 536 acres. Take a ride on the train, go horseback riding, have a picnic, go fishing, ice skate or play ball. Relax and tour Brookside Gardens' grounds and conservatory, attend a nature program, or traverse the trails and discover the park's beauty.",,Wheaton Regional Park,2-7647,23613,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=7647,"""11""",,Excellent trails.,11,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gainesville,Florida,United States,Hogtown Creek Greenway,,1168,"&quot;The most direct route there is take NW 34th St to NW 8th Ave. At 8th, head east. There will be a park (swings, swimming pool, etc) across the street. You need to be on the opposite side of the street, turn in to the closest dirt path to NW 34th St.",29.65498,-82.37196,,,Hogtown Creek Greenway,1-133,1168,5,mountain biking,http://www.singletracks.com/item.php?c=1&i=133,"""1""",null,"This is a short trail, usually very sandy unless it's rained. The &quot;bowl&quot; has little drop offs that are pretty fun, and there's a few trails running a mile or so. Even if it hasn't, there's usually plenty of water to go in :)",1,2012-08-15T16:12:35Z,5,mountain biking,2012-08-15T16:12:35Z,http://images.singletracks.com/2011/03/P3160480-0.jpg,,2.6,Hogtown Creek Greenway,2-2289,1168,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=2289,"""1""","Hogtown Creek Greenway features 1 miles of hiking trails near Gainesville, FL.",1,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,,,,,,,,,,,,,,,,,,
Bastrop,Louisiana,United States,Chemin-a-haut State Park,,9789,"The park is located about 10 miles north of Bastrop. From Monroe, take either US 165 or LA 139 north to Bastrop.  From Bastrop, Take US 425 north to LA 1257 (Loop Park Road). &lt;br /&gt;&lt;br /&gt;14656 State Park Road, Bastrop, LA",32.914061,-91.846127,"Chemin-a-haut State Park is located on a high bluff overlooking the Bartholomew Bayou in Louisiana. The 503-acre park of well preserved beauty was designed with children in mind. There are two playgrounds and a wading pool for kids. The site also includes a picnic area with 35 family picnic areas and a few group sites and shelters. The park offers lovely high view of the banks of Bayou Bartholomew. There is also the Big Slough Lake on the property for fishing. Cabins are available for renting, complete with appliances and dinnerware. Hiking is also a popular activity on any one of the park's 10 miles of trails.",,Chemin-a-haut State Park,2-4101,9789,2,hiking,http://www.tripleblaze.com/trail.php?c=3&i=4101,"""10""",,"Chemin-a-haut State Park is located on a high bluff overlooking the Bartholomew Bayou in Louisiana. The 503-acre park of well preserved beauty was designed with children in mind. There are two playgrounds and a wading pool for kids. The site also includes a picnic area with 35 family picnic areas and a few group sites and shelters. The park offers lovely high view of the banks of Bayou Bartholomew. There is also the Big Slough Lake on the property for fishing. Cabins are available for renting, complete with appliances and dinnerware. <br /><br />Chemin-a-haut has three popular trails for hiking. The Bobcat Trail is 1.1 miles, the Boy Scout Trail is .25 miles and the equestrian trails is 8 miles.",10,2012-08-15T16:12:21Z,2,hiking,2012-08-15T16:12:21Z,,,0,Chemin-a-haut State Park,3-4204,9789,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=4204,"""3""","Chemin-a-haut State Park is located on a high bluff overlooking the Bartholomew Bayou in Louisiana. The 503-acre park of well preserved beauty was designed with children in mind. There are two playgrounds and a wading pool for kids. The site also includes a picnic area with 35 family picnic areas and a few group sites and shelters. The park offers lovely high view of the banks of Bayou Bartholomew. There is also the Big Slough Lake on the property for fishing. Hiking is also a popular activity on any one of the park's 10 miles of trails.<br /><br /> Cabins are available for renting, complete with appliances and dinnerware. There are a total of 15 cabins that vary in price. The park also has 26 campsites with electric and water hookups, as well as a primitive camping area with a capacity of 20 people.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/03/4204-1300513061-0.jpg,,0,,,,,,,,,,,,,,,,,,
,Oregon,United States,Riley,,11367,"From Sandy, travel Highway 26 for 18 miles to Zigzag. Turn north onto Lolo Pass Road. Continue for about 4 miles, then turn right on Forest Road 1825 and continue for less than a mile. Bear right, staying on Forest Road 1825, and cross the Sandy River Bridge. Continue for another half-mile, to Forest Roads 1825-382. Turn right, cross Lost Creek Bridge, and the campground will be almost immediately on the right.",45.381389,-121.859444,,,Riley,3-5782,11367,6,camping,http://www.tripleblaze.com/trail.php?c=2&i=5782,"""3""",,"Riley Campground is an equestrian facility located northwest of Oregon&amp;amp;#39;s majestic Mt. Hood. Horse corrals are tucked into the forest near the campsites, and several horseback riding trails can be accessed from the campground. A variety of recreational and sightseeing opportunities are available for visitors to enjoy.",3,2012-08-15T17:31:31Z,6,camping,2012-08-15T17:31:31Z,http://images.tripleblaze.com/2011/04/5782-1303231707-0.jpg,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
